,movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,revenue,profit
1595,Deadpool,2015,142380100,58000000,363070709,437954884,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,107.0,801025593,743025593
1619,Fantastic Four,2015,185150100,120000000,56117548,111731639,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,100.0,167849187,47849187
1621,Ant-Man,2015,133110100,130000000,180202163,338656286,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,117.0,518858449,388858449
1623,Teenage Mutant Ninja Turtles: Out of the Shadows,2015,214470100,135000000,82051601,163276773,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Adventure,1.0,112.0,245328374,110328374
1635,X-Men: Apocalypse,2015,200750100,178000000,155442489,387095057,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,136.0,542537546,364537546
1638,Batman v Superman: Dawn of Justice,2015,196380100,250000000,330360194,537140087,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,151.0,867500281,617500281
1639,Captain America: Civil War,2015,202820100,250000000,408084349,731985064,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,146.0,1140069413,890069413
1758,Logan,2016,205120100,127000000,226277068,389184326,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,135.0,615461394,488461394
1762,Wonder Woman,2016,106850100,150000000,412563408,408569970,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,141.0,821133378,671133378
1765,Doctor Strange,2016,218470100,165000000,232641920,443762646,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,115.0,676404566,511404566
1768,Spider-Man: Homecoming,2016,224140100,175000000,334201140,545965210,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,133.0,880166350,705166350
1769,Suicide Squad,2016,215980100,175000000,325100054,420959833,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,123.0,746059887,571059887
1774,Guardians of the Galaxy Vol 2,2016,211440100,200000000,389813101,472503132,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,136.0,862316233,662316233
1874,Deadpool 2,2017,258830100,110000000,324591735,462088822,R,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,119.0,786680557,676680557
1878,Ant-Man and the Wasp,2017,243840100,130000000,216648740,406495920,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,118.0,623144660,493144660
1887,Thor: Ragnarok,2017,218480100,180000000,315058289,531921735,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1.0,130.0,846980024,666980024
1891,Black Panther,2017,140380100,200000000,700059566,648198658,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,120.0,1348258224,1148258224
1894,Justice League,2017,213080100,300000000,229024295,426920914,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,121.0,655945209,355945209
1895,Avengers: Infinity War,2017,202830100,300000000,678815482,1369982200,PG-13,Super Hero,Based on Comic/Graphic Novel,Animation/Live Action,Action,1.0,156.0,2048797682,1748797682
1924,Spider-Man: Into The Spider-Verse 3D,2018,229420100,90000000,188016276,175962777,PG,Super Hero,Based on Comic/Graphic Novel,Digital Animation,Adventure,0.0,117.0,363979053,273979053
1928,Venom,2018,149960100,116000000,213511408,640117197,PG-13,Super Hero,Spin-Off,Animation/Live Action,Action,0.0,112.0,853628605,737628605
1932,Aquaman,2018,213100100,160000000,333804251,805605026,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0.0,143.0,1139409277,979409277
